road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
1795687,Addressing Road,Unknown,Road,Kansas Street,Kansas St,,Kansas,Street,,,,,,Kansas Street,Kansas St,Kansas
1800690,Addressing Road,Unknown,Road,Strasbourge Street,Strasbourge St,,Strasbourge,Street,,,,,,Strasbourge Street,Strasbourge St,Strasbourge
1801442,Addressing Road,Unknown,Road,Daniell Street,Daniell St,,Daniell,Street,,,,,,Daniell Street,Daniell St,Daniell
1801443,Addressing Road,Unknown,Road,Judds Road,Judds Rd,,Judds,Road,,,,,,Judds Road,Judds Rd,Judds
1795576,Addressing Road,Unknown,Road,Cundys Road,Cundys Rd,,Cundys,Road,,,,,,Cundys Road,Cundys Rd,Cundys
3082059,Addressing Road,Unknown,Road,Manukawiri Way,Manukawiri Way,,Manukawiri,Way,,,,,,Manukawiri Way,Manukawiri Way,Manukawiri
1793541,Addressing Road,Unknown,Road,Kemptons Line,Kemptons Line,,Kemptons,Line,,,,,,Kemptons Line,Kemptons Line,Kemptons
3073855,Addressing Road,Roadway,,,,,,,,,,,,,,
3073742,Addressing Road,Unknown,Road Designation,State Highway 2,SH 2,,,,,State Highway,2,,,State Highway 2,SH 2,
3074511,Addressing Road,Accessway,,,,,,,,,,,,,,
1792536,Addressing Road,Unknown,Road,Barlow Road,Barlow Rd,,Barlow,Road,,,,,,Barlow Road,Barlow Rd,Barlow
3079296,Addressing Road,Unknown,Road,Bey Lane,Bey Lane,,Bey,Lane,,,,,,Bey Lane,Bey Lane,Bey
1795669,Addressing Road,Unknown,Road,Broadway Street,Broadway St,,Broadway,Street,,,,,,Broadway Street,Broadway St,Broadway
1795454,Addressing Road,Unknown,Road,Woodward Street West,Woodward St W,,Woodward,Street,West,,,,,Woodward Street West,Woodward St W,Woodward
1793361,Addressing Road,Unknown,Road,East Street,East St,,East,Street,,,,,,East Street,East St,East
1795494,Addressing Road,Unknown,Road,Johnston Street,Johnston St,,Johnston,Street,,,,,,Johnston Street,Johnston St,Johnston
1795648,Addressing Road,Unknown,Road,Church Street,Church St,,Church,Street,,,,,,Church Street,Church St,Church
3081337,Addressing Road,Unknown,Road,Peony Drive,Peony Dr,,Peony,Drive,,,,,,Peony Drive,Peony Dr,Peony
1795392,Addressing Road,Unknown,Road,Ponatahi Road,Ponatahi Rd,,Ponatahi,Road,,,,,,Ponatahi Road,Ponatahi Rd,Ponatahi
1795656,Addressing Road,Unknown,Road,South Street,South St,,South,Street,,,,,,South Street,South St,South
3041666,Addressing Road,Unknown,Road,Bidwills Cutting Road,Bidwills Cutting Rd,,Bidwills Cutting,Road,,,,,,Bidwills Cutting Road,Bidwills Cutting Rd,Bidwills Cutting
3043395,Addressing Road,Unknown,Road,Kahutara Road,Kahutara Rd,,Kahutara,Road,,,,,,Kahutara Road,Kahutara Rd,Kahutara
3043440,Addressing Road,Unknown,Road,Ruakokoputuna Road,Ruakokoputuna Rd,,Ruakokoputuna,Road,,,,,,Ruakokoputuna Road,Ruakokoputuna Rd,Ruakokoputuna
3029205,Addressing Road,Unknown,Road,South Featherston Road,South Featherston Rd,,South Featherston,Road,,,,,,South Featherston Road,South Featherston Rd,South Featherston
3023167,Addressing Road,Unknown,Road,Phillips Line,Phillips Line,,Phillips,Line,,,,,,Phillips Line,Phillips Line,Phillips
1795469,Addressing Road,Unknown,Road,Nelsons Road,Nelsons Rd,,Nelsons,Road,,,,,,Nelsons Road,Nelsons Rd,Nelsons
3036706,Addressing Road,Unknown,Road,Underhill Road,Underhill Rd,,Underhill,Road,,,,,,Underhill Road,Underhill Rd,Underhill
1795653,Addressing Road,Unknown,Road,Hospital Road,Hospital Rd,,Hospital,Road,,,,,,Hospital Road,Hospital Rd,Hospital
1795668,Addressing Road,Unknown,Road,Jellicoe Street,Jellicoe St,,Jellicoe,Street,,,,,,Jellicoe Street,Jellicoe St,Jellicoe
1800671,Addressing Road,Unknown,Road,Bush Gully Road,Bush Gully Rd,,Bush Gully,Road,,,,,,Bush Gully Road,Bush Gully Rd,Bush Gully
3063182,Addressing Road,Unknown,Road,Range Road,Range Rd,,Range,Road,,,,,,Range Road,Range Rd,Range
1795537,Addressing Road,Unknown,Road,Pahaoa Road,Pahaoa Rd,,Pahaoa,Road,,,,,,Pahaoa Road,Pahaoa Rd,Pahaoa
1795596,Addressing Road,Unknown,Road,Glendhu Road,Glendhu Rd,,Glendhu,Road,,,,,,Glendhu Road,Glendhu Rd,Glendhu
3045384,Addressing Road,Unknown,Road,Boar Bush Gully Road,Boar Bush Gully Rd,,Boar Bush Gully,Road,,,,,,Boar Bush Gully Road,Boar Bush Gully Rd,Boar Bush Gully
1795470,Addressing Road,Unknown,Road,Moore Street,Moore St,,Moore,Street,,,,,,Moore Street,Moore St,Moore
3080708,Addressing Road,Unknown,Road,Ataahua Place,Ataahua Pl,,Ataahua,Place,,,,,,Ataahua Place,Ataahua Pl,Ataahua
1800687,Addressing Road,Unknown,Road,Railway Road,Railway Rd,,Railway,Road,,,,,,Railway Road,Railway Rd,Railway
1795543,Addressing Road,Unknown,Road,Te Miha Crescent,Te Miha Cres,,Te Miha,Crescent,,,,,,Te Miha Crescent,Te Miha Cres,Te Miha
3022761,Addressing Road,Unknown,Road,Te Muna Road,Te Muna Rd,,Te Muna,Road,,,,,,Te Muna Road,Te Muna Rd,Te Muna
3083613,Addressing Road,Unknown,Road,Kaitara Park Lane,Kaitara Park Lane,,Kaitara Park,Lane,,,,,,Kaitara Park Lane,Kaitara Park Lane,Kaitara Park
3083714,Addressing Road,Unknown,Road,Woodlands Way,Woodlands Way,,Woodlands,Way,,,,,,Woodlands Way,Woodlands Way,Woodlands
1795538,Addressing Road,Unknown,Road,Ahikouka Road,Ahikouka Rd,,Ahikouka,Road,,,,,,Ahikouka Road,Ahikouka Rd,Ahikouka
1795540,Addressing Road,Unknown,Road,Hupenui Road,Hupenui Rd,,Hupenui,Road,,,,,,Hupenui Road,Hupenui Rd,Hupenui
1795649,Addressing Road,Unknown,Road,McMaster Street,McMaster St,,McMaster,Street,,,,,,McMaster Street,McMaster St,McMaster
3076453,Addressing Road,Roadway,,,,,,,,,,,,,,
1841657,Addressing Road,Unknown,Road,Kelly's Stream Lane,Kelly's Stream Lane,,Kelly's Stream,Lane,,,,,,Kelly's Stream Lane,Kelly's Stream Lane,Kelly's Stream
3063415,Addressing Road,Unknown,Road,Ocean Beach Road,Ocean Beach Rd,,Ocean Beach,Road,,,,,,Ocean Beach Road,Ocean Beach Rd,Ocean Beach
1795507,Addressing Road,Unknown,Road,Cannock Road,Cannock Rd,,Cannock,Road,,,,,,Cannock Road,Cannock Rd,Cannock
1795535,Addressing Road,Unknown,Road,Paruwai Road,Paruwai Rd,,Paruwai,Road,,,,,,Paruwai Road,Paruwai Rd,Paruwai
3013166,Addressing Road,Unknown,Road,Whangaimoana Beach Road,Whangaimoana Beach Rd,,Whangaimoana Beach,Road,,,,,,Whangaimoana Beach Road,Whangaimoana Beach Rd,Whangaimoana Beach
1795549,Addressing Road,Unknown,Road,Lake Ferry Road,Lake Ferry Rd,,Lake Ferry,Road,,,,,,Lake Ferry Road,Lake Ferry Rd,Lake Ferry
3078953,Addressing Road,Unknown,Road,Black Knight Lane,Black Knight Lane,,Black Knight,Lane,,,,,,Black Knight Lane,Black Knight Lane,Black Knight
1799907,Addressing Road,Unknown,Road,Hawkins Drive,Hawkins Dr,,Hawkins,Drive,,,,,,Hawkins Drive,Hawkins Dr,Hawkins
1841006,Addressing Road,Unknown,Road,Gregs Lane,Gregs Lane,,Gregs,Lane,,,,,,Gregs Lane,Gregs Lane,Gregs
1841187,Addressing Road,Unknown,Road,Elmstead Lane,Elmstead Lane,,Elmstead,Lane,,,,,,Elmstead Lane,Elmstead Lane,Elmstead
3007797,Addressing Road,Unknown,Road,Dry River Road,Dry River Rd,,Dry River,Road,,,,,,Dry River Road,Dry River Rd,Dry River
3041463,Addressing Road,Unknown,Road,Revans Street,Revans St,,Revans,Street,,,,,,Revans Street,Revans St,Revans
3050751,Addressing Road,Unknown,Road,Kawau Lane,Kawau Lane,,Kawau,Lane,,,,,,Kawau Lane,Kawau Lane,Kawau
1795638,Addressing Road,Unknown,Road,Martins Road,Martins Rd,,Martins,Road,,,,,,Martins Road,Martins Rd,Martins
1800674,Addressing Road,Unknown,Road,Wainuioru Road,Wainuioru Rd,,Wainuioru,Road,,,,,,Wainuioru Road,Wainuioru Rd,Wainuioru
1800688,Addressing Road,Unknown,Road,Roberts Street,Roberts St,,Roberts,Street,,,,,,Roberts Street,Roberts St,Roberts
3065976,Addressing Road,Unknown,Road,Fabians Road,Fabians Rd,,Fabians,Road,,,,,,Fabians Road,Fabians Rd,Fabians
3077853,Addressing Road,Unknown,Road,Arnold Walk,Arnold Wlk,,Arnold,Walk,,,,,,Arnold Walk,Arnold Wlk,Arnold
3078788,Addressing Road,Unknown,Road,Flax Cutter Lane,Flax Cutter Lane,,Flax Cutter,Lane,,,,,,Flax Cutter Lane,Flax Cutter Lane,Flax Cutter
1795472,Addressing Road,Unknown,Road,North Street,North St,,North,Street,,,,,,North Street,North St,North
1793461,Addressing Road,Unknown,Road,Humphries Street,Humphries St,,Humphries,Street,,,,,,Humphries Street,Humphries St,Humphries
1795603,Addressing Road,Unknown,Road,Mahaki Road,Mahaki Rd,,Mahaki,Road,,,,,,Mahaki Road,Mahaki Rd,Mahaki
1795499,Addressing Road,Unknown,Road,West Street,West St,,West,Street,,,,,,West Street,West St,West
1800667,Addressing Road,Unknown,Road,Regent Street,Regent St,,Regent,Street,,,,,,Regent Street,Regent St,Regent
1800352,Addressing Road,Unknown,Road,Kuratawhiti Street,Kuratawhiti St,,Kuratawhiti,Street,,,,,,Kuratawhiti Street,Kuratawhiti St,Kuratawhiti
3081770,Addressing Road,Unknown,Road,Orion Way,Orion Way,,Orion,Way,,,,,,Orion Way,Orion Way,Orion
1795555,Addressing Road,Unknown,Road,Waiohine Valley Road,Waiohine Valley Rd,,Waiohine Valley,Road,,,,,,Waiohine Valley Road,Waiohine Valley Rd,Waiohine Valley
3081170,Addressing Road,Unknown,Road,Sinclair Way,Sinclair Way,,Sinclair,Way,,,,,,Sinclair Way,Sinclair Way,Sinclair
3082420,Addressing Road,Unknown,Road,Waihenga Lane,Waihenga Lane,,Waihenga,Lane,,,,,,Waihenga Lane,Waihenga Lane,Waihenga
1839462,Addressing Road,Unknown,Road,Ahearn Lane,Ahearn Lane,,Ahearn,Lane,,,,,,Ahearn Lane,Ahearn Lane,Ahearn
3082459,Addressing Road,Unknown,Road,Charles Robert Drive,Charles Robert Dr,,Charles Robert,Drive,,,,,,Charles Robert Drive,Charles Robert Dr,Charles Robert
1795662,Addressing Road,Unknown,Road,Balfour Street,Balfour St,,Balfour,Street,,,,,,Balfour Street,Balfour St,Balfour
3083146,Addressing Road,Unknown,Road,Community Green,Community Grn,,Community,Green,,,,,,Community Green,Community Grn,Community
1795464,Addressing Road,Unknown,Road,Manihera Street,Manihera St,,Manihera,Street,,,,,,Manihera Street,Manihera St,Manihera
1841549,Addressing Road,Unknown,Road,Vineyard Lane,Vineyard Lane,,Vineyard,Lane,,,,,,Vineyard Lane,Vineyard Lane,Vineyard
1795533,Addressing Road,Unknown,Road,Parera Road,Parera Rd,,Parera,Road,,,,,,Parera Road,Parera Rd,Parera
1800672,Addressing Road,Unknown,Road,Kumenga Road,Kumenga Rd,,Kumenga,Road,,,,,,Kumenga Road,Kumenga Rd,Kumenga
1800684,Addressing Road,Unknown,Road,Chishams Road,Chishams Rd,,Chishams,Road,,,,,,Chishams Road,Chishams Rd,Chishams
1800685,Addressing Road,Unknown,Road,Fraters Road,Fraters Rd,,Fraters,Road,,,,,,Fraters Road,Fraters Rd,Fraters
1795620,Addressing Road,Unknown,Road,Woodside Road,Woodside Rd,,Woodside,Road,,,,,,Woodside Road,Woodside Rd,Woodside
1793350,Addressing Road,Unknown,Road,Donald Street,Donald St,,Donald,Street,,,,,,Donald Street,Donald St,Donald
3068777,Addressing Road,Unknown,Road,Harris Road South,Harris Rd S,,Harris,Road,South,,,,,Harris Road South,Harris Rd S,Harris
1795566,Addressing Road,Unknown,Road,Hikawera Road,Hikawera Rd,,Hikawera,Road,,,,,,Hikawera Road,Hikawera Rd,Hikawera
1795571,Addressing Road,Unknown,Road,Moeraki Road,Moeraki Rd,,Moeraki,Road,,,,,,Moeraki Road,Moeraki Rd,Moeraki
1800666,Addressing Road,Unknown,Road,Papawai Road,Papawai Rd,,Papawai,Road,,,,,,Papawai Road,Papawai Rd,Papawai
3009440,Addressing Road,Unknown,Road,Tora Road,Tora Rd,,Tora,Road,,,,,,Tora Road,Tora Rd,Tora
1795665,Addressing Road,Unknown,Road,Cork Street,Cork St,,Cork,Street,,,,,,Cork Street,Cork St,Cork
1795671,Addressing Road,Unknown,Road,Texas Street,Texas St,,Texas,Street,,,,,,Texas Street,Texas St,Texas
1795681,Addressing Road,Unknown,Road,New York Street,New York St,,New York,Street,,,,,,New York Street,New York St,New York
3077559,Addressing Road,Unknown,Road,James Kidd Place,James Kidd Pl,,James Kidd,Place,,,,,,James Kidd Place,James Kidd Pl,James Kidd
1795680,Addressing Road,Unknown,Road,Naples Street,Naples St,,Naples,Street,,,,,,Naples Street,Naples St,Naples
3070502,Addressing Road,Unknown,Road,Borlase Road,Borlase Rd,,Borlase,Road,,,,,,Borlase Road,Borlase Rd,Borlase
1801444,Addressing Road,Unknown,Road,Princess Street,Princess St,,Princess,Street,,,,,,Princess Street,Princess St,Princess
3080682,Addressing Road,Unknown,Road,Matai Grove,Matai Grv,,Matai,Grove,,,,,,Matai Grove,Matai Grv,Matai
3080695,Addressing Road,Unknown,Road,Trinity Lane,Trinity Lane,,Trinity,Lane,,,,,,Trinity Lane,Trinity Lane,Trinity
3053894,Addressing Road,Unknown,Road,Main Street,Main St,,Main,Street,,,,,,Main Street,Main St,Main
1842793,Addressing Road,Unknown,Road,Arbor Place,Arbor Pl,,Arbor,Place,,,,,,Arbor Place,Arbor Pl,Arbor
3081687,Addressing Road,Unknown,Road,Wilson Way,Wilson Way,,Wilson,Way,,,,,,Wilson Way,Wilson Way,Wilson
1795496,Addressing Road,Unknown,Road,Watt Street,Watt St,,Watt,Street,,,,,,Watt Street,Watt St,Watt
3045152,Addressing Road,Unknown,Road,State Highway 2,SH 2,,State Highway 2,,,,,,,State Highway 2,SH 2,State Highway 2
1795633,Addressing Road,Unknown,Road,Bartons Road,Bartons Rd,,Bartons,Road,,,,,,Bartons Road,Bartons Rd,Bartons
3053271,Addressing Road,Unknown,Road,Western Lake Road,Western Lake Rd,,Western Lake,Road,,,,,,Western Lake Road,Western Lake Rd,Western Lake
1800675,Addressing Road,Unknown,Road,Bicknells Road,Bicknells Rd,,Bicknells,Road,,,,,,Bicknells Road,Bicknells Rd,Bicknells
1844134,Addressing Road,Unknown,Road,Burgundy Drive,Burgundy Dr,,Burgundy,Drive,,,,,,Burgundy Drive,Burgundy Dr,Burgundy
1795679,Addressing Road,Unknown,Road,Venice Street,Venice St,,Venice,Street,,,,,,Venice Street,Venice St,Venice
3083637,Addressing Road,Unknown,Road,George Hawkins Way,George Hawkins Way,,George Hawkins,Way,,,,,,George Hawkins Way,George Hawkins Way,George Hawkins
1795536,Addressing Road,Unknown,Road,Papatahi Road,Papatahi Rd,,Papatahi,Road,,,,,,Papatahi Road,Papatahi Rd,Papatahi
1795559,Addressing Road,Unknown,Road,Bidwills Road,Bidwills Rd,,Bidwills,Road,,,,,,Bidwills Road,Bidwills Rd,Bidwills
3083738,Addressing Road,Unknown,Road,Willow Lane,Willow Lane,,Willow,Lane,,,,,,Willow Lane,Willow Lane,Willow
1795456,Addressing Road,Unknown,Road,Fox Street,Fox St,,Fox,Street,,,,,,Fox Street,Fox St,Fox
1795461,Addressing Road,Unknown,Road,Churchill Crescent,Churchill Cres,,Churchill,Crescent,,,,,,Churchill Crescent,Churchill Cres,Churchill
1795463,Addressing Road,Unknown,Road,Hardie Grove,Hardie Grv,,Hardie,Grove,,,,,,Hardie Grove,Hardie Grv,Hardie
1795468,Addressing Road,Unknown,Road,Renall Street,Renall St,,Renall,Street,,,,,,Renall Street,Renall St,Renall
1795474,Addressing Road,Unknown,Road,Puruatanga Road,Puruatanga Rd,,Puruatanga,Road,,,,,,Puruatanga Road,Puruatanga Rd,Puruatanga
1795505,Addressing Road,Unknown,Road,Warrens Road,Warrens Rd,,Warrens,Road,,,,,,Warrens Road,Warrens Rd,Warrens
1795495,Addressing Road,Unknown,Road,Wallace Street,Wallace St,,Wallace,Street,,,,,,Wallace Street,Wallace St,Wallace
1795530,Addressing Road,Unknown,Road,East Street,East St,,East,Street,,,,,,East Street,East St,East
1795509,Addressing Road,Unknown,Road,Cape River Road,Cape River Rd,,Cape River,Road,,,,,,Cape River Road,Cape River Rd,Cape River
1795514,Addressing Road,Unknown,Road,Whakatomotomo Road,Whakatomotomo Rd,,Whakatomotomo,Road,,,,,,Whakatomotomo Road,Whakatomotomo Rd,Whakatomotomo
1795539,Addressing Road,Unknown,Road,Algies Road,Algies Rd,,Algies,Road,,,,,,Algies Road,Algies Rd,Algies
1795556,Addressing Road,Unknown,Road,Wairio Road,Wairio Rd,,Wairio,Road,,,,,,Wairio Road,Wairio Rd,Wairio
1795558,Addressing Road,Unknown,Road,Yeronga Road,Yeronga Rd,,Yeronga,Road,,,,,,Yeronga Road,Yeronga Rd,Yeronga
1795604,Addressing Road,Unknown,Road,Pukio East Road,Pukio East Rd,,Pukio East,Road,,,,,,Pukio East Road,Pukio East Rd,Pukio East
1795631,Addressing Road,Unknown,Road,Backwater Road,Backwater Rd,,Backwater,Road,,,,,,Backwater Road,Backwater Rd,Backwater
1795597,Addressing Road,Unknown,Road,George Street,George St,,George,Street,,,,,,George Street,George St,George
1795619,Addressing Road,Unknown,Road,Clarkes Road,Clarkes Rd,,Clarkes,Road,,,,,,Clarkes Road,Clarkes Rd,Clarkes
1795621,Addressing Road,Unknown,Road,William Street,William St,,William,Street,,,,,,William Street,William St,William
1795635,Addressing Road,Unknown,Road,Riverside Road,Riverside Rd,,Riverside,Road,,,,,,Riverside Road,Riverside Rd,Riverside
1795636,Addressing Road,Unknown,Road,River Street,River St,,River,Street,,,,,,River Street,River St,River
1795637,Addressing Road,Unknown,Road,Elgars Road,Elgars Rd,,Elgars,Road,,,,,,Elgars Road,Elgars Rd,Elgars
1795640,Addressing Road,Unknown,Road,Maramaramau Road,Maramaramau Rd,,Maramaramau,Road,,,,,,Maramaramau Road,Maramaramau Rd,Maramaramau
1795651,Addressing Road,Unknown,Road,Cotter Street,Cotter St,,Cotter,Street,,,,,,Cotter Street,Cotter St,Cotter
1795661,Addressing Road,Unknown,Road,Massey Street,Massey St,,Massey,Street,,,,,,Massey Street,Massey St,Massey
1795663,Addressing Road,Unknown,Road,Memorial Square,Memorial Sq,,Memorial,Square,,,,,,Memorial Square,Memorial Sq,Memorial
1795670,Addressing Road,Unknown,Road,Cambridge Road,Cambridge Rd,,Cambridge,Road,,,,,,Cambridge Road,Cambridge Rd,Cambridge
1800689,Addressing Road,Unknown,Road,Panama Street,Panama St,,Panama,Street,,,,,,Panama Street,Panama St,Panama
1795600,Addressing Road,Unknown,Road,Glendryneoch Road,Glendryneoch Rd,,Glendryneoch,Road,,,,,,Glendryneoch Road,Glendryneoch Rd,Glendryneoch
1841628,Addressing Road,Unknown,Road,Westwood Avenue,Westwood Ave,,Westwood,Avenue,,,,,,Westwood Avenue,Westwood Ave,Westwood
1795589,Addressing Road,Unknown,Road,McDougalls Road,McDougalls Rd,,McDougalls,Road,,,,,,McDougalls Road,McDougalls Rd,McDougalls
3046224,Addressing Road,Unknown,Road,Longbush Road,Longbush Rd,,Longbush,Road,,,,,,Longbush Road,Longbush Rd,Longbush
1793351,Addressing Road,Unknown,Road,Dublin Street,Dublin St,,Dublin,Street,,,,,,Dublin Street,Dublin St,Dublin
1795515,Addressing Road,Unknown,Road,Whareroto Road,Whareroto Rd,,Whareroto,Road,,,,,,Whareroto Road,Whareroto Rd,Whareroto
1795595,Addressing Road,Unknown,Road,Hinekura Road,Hinekura Rd,,Hinekura,Road,,,,,,Hinekura Road,Hinekura Rd,Hinekura
1795650,Addressing Road,Unknown,Road,Pierce Street,Pierce St,,Pierce,Street,,,,,,Pierce Street,Pierce St,Pierce
3081690,Addressing Road,Unknown,Road,Oates Place,Oates Pl,,Oates,Place,,,,,,Oates Place,Oates Pl,Oates
1795570,Addressing Road,Unknown,Road,Moiki Road,Moiki Rd,,Moiki,Road,,,,,,Moiki Road,Moiki Rd,Moiki
3082147,Addressing Road,Unknown,Road,Syrah Lane,Syrah Lane,,Syrah,Lane,,,,,,Syrah Lane,Syrah Lane,Syrah
1839447,Addressing Road,Unknown,Road,Sutherland Drive,Sutherland Dr,,Sutherland,Drive,,,,,,Sutherland Drive,Sutherland Dr,Sutherland
3082595,Addressing Road,Unknown,Road,Cotterville Crescent,Cotterville Cres,,Cotterville,Crescent,,,,,,Cotterville Crescent,Cotterville Cres,Cotterville
1793383,Addressing Road,Unknown,Road,Harrison Street East,Harrison St E,,Harrison,Street,East,,,,,Harrison Street East,Harrison St E,Harrison
