WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
"LINESTRING (1775967.52716482 5416339.37205989,1776083.85719379 5416572.95074619,1776164.24029402 5416615.11835525,1776242.11205696 5416700.81289177,1776414.24862021 5416972.59828599,1776450.45073152 5417133.97063223,1776411.85751588 5417220.09416289,1776353.40115096 5417291.90161345,1776088.86668425 5417399.78492633,1775933.85914924 5417495.20306175)",1795632,Addressing Road,Unknown,Road,Beach Road,Beach Rd,,Beach,Road,,,,,,Beach Road,Beach Rd,Beach
"LINESTRING (1805583.83233456 5434261.95289182,1805573.26108257 5434266.01572149,1805568.73852175 5434268.28248958,1805564.69787493 5434271.35543939,1805561.19820885 5434275.13897635,1805336.10649843 5434598.57678803,1805284.10800315 5434672.70225378)",1840000,Addressing Road,Unknown,Road,Vintners Lane,Vintners Lane,,Vintners,Lane,,,,,,Vintners Lane,Vintners Lane,Vintners
"MULTILINESTRING ((1809942.77401348 5402310.22242926,1809956.08993563 5402240.82332756,1809967.49357336 5402129.42770934,1809967.27495795 5402085.91318853,1809957.5897649 5402062.51226405,1809835.8694973 5401939.70811306,1809734.92126795 5401867.64580201,1809237.38457338 5401588.48527863,1809143.56613298 5401530.73817262,1809072.61687996 5401548.32574368,1809068.86308986 5401549.07541281,1809042.70114323 5401537.05268506,1809036.75652656 5401534.31168918,1809031.73029791 5401494.00577854,1809031.66666512 5401491.76288287,1809032.01216642 5401385.41660508,1809058.10350148 5401339.90970201,1809095.75112523 5401284.10879301,1809058.87602529 5401119.94701478,1809058.60924035 5401118.76385998,1809060.17039764 5401061.47208852,1809020.09511298 5400935.95626309,1808969.83049631 5400836.81505844,1808900.30238606 5400786.39380274,1808897.97195751 5400784.70555323,1808861.15740152 5400689.24484246),(1804265.24827778 5396251.50701799,1804525.27992105 5396489.37346903,1804808.68839702 5397058.08371999,1804893.83668175 5397075.84082768,1805022.36736306 5397102.80723164),(1808861.15740152 5400689.24484246,1808852.69278731 5400667.29274257,1808774.29853099 5400588.31428368,1808772.14641067 5400586.14669437,1808746.83542318 5400441.40515483,1808658.53815928 5400267.46854052,1808537.74389417 5400155.84059784,1808535.68022567 5400153.93339085,1808505.84174912 5400042.73035362,1808415.14547805 5399934.82667802,1808413.8568333 5399933.29337799,1808393.51963324 5399865.82644795,1808250.21696073 5399731.28296599,1808012.2158954 5399603.29965347,1807904.65270102 5399609.45034944,1807853.72003403 5399571.54578426,1807759.79874437 5399523.25469503,1807443.34181734 5399312.29775175,1807276.61285159 5399281.39577123,1807178.20678833 5399228.93813417,1807118.65945223 5399192.3290399,1807053.01743623 5399123.47599715,1806741.83474689 5398966.13465318,1806733.30176237 5398960.52540204,1806725.4134341 5398952.82837508,1806722.08257009 5398949.01086803,1806719.82781609 5398945.11866603,1806718.45625781 5398940.72420361,1806717.76410257 5398935.86169543,1806717.80641748 5398931.06173445,1806718.81955964 5398924.62537381,1806726.14395732 5398898.14456749,1806728.27439853 5398888.70547961,1806731.23969832 5398872.57780828,1806734.95291368 5398843.3718008,1806736.6215706 5398825.41704139,1806736.55923824 5398815.10103414,1806735.7802376 5398804.78637598,1806734.49765405 5398794.4343053,1806732.58527876 5398784.02477034,1806729.22405956 5398773.70097489,1806724.22329569 5398762.68381787,1806651.66020548 5398630.24010976,1806628.63450222 5398591.32109931,1806518.99736335 5398452.21820189,1806517.86378272 5398450.82831849,1806432.0037379 5398257.90617022,1806377.46904333 5398156.99808544,1806304.76295042 5398068.93756072,1805983.2651316 5397778.31966538,1805903.63637976 5397731.54149169,1805902.03621769 5397730.56491005,1805723.73092107 5397495.45885089,1805592.48107245 5397379.18710515,1805591.82908986 5397378.57231934,1805486.2652219 5397237.44985565,1805306.41274764 5397162.50352676,1805022.36736306 5397102.80723164))",1795623,Addressing Road,Unknown,Road,Tora Farm Settlement Road,Tora Farm Settlement Rd,,Tora Farm Settlement,Road,,,,,,Tora Farm Settlement Road,Tora Farm Settlement Rd,Tora Farm Settlement
"MULTILINESTRING ((1794243.76570096 5444212.18633481,1794517.28738686 5445141.56611205),(1794517.28738686 5445141.56611205,1794531.01181694 5445187.51967389),(1794531.01181694 5445187.51967389,1794543.1614169 5445230.43387918,1794625.44097084 5445333.12669417),(1794930.78056555 5445711.530071,1794870.357944 5445636.42600259),(1794794.29473978 5445542.24523265,1794655.35225347 5445370.07936448),(1794870.357944 5445636.42600259,1794794.29473978 5445542.24523265),(1794625.44097084 5445333.12669417,1794647.85673688 5445361.04405054),(1794647.85673688 5445361.04405054,1794655.35225347 5445370.07936448))",1792097,Addressing Road,Unknown,Road,Bethune Street,Bethune St,,Bethune,Street,,,,,,Bethune Street,Bethune St,Bethune
"LINESTRING (1788470.83778912 5391703.34286062,1788478.92925071 5391737.76348983,1788478.88272167 5391742.03471916,1788476.94542677 5391746.66417058,1788473.28278973 5391751.284706,1788442.89908704 5391778.25658483,1788417.40359948 5391791.02280054,1788393.64767849 5391794.91396185)",1795560,Addressing Road,Unknown,Road,Ben Avon Grove,Ben Avon Grv,,Ben Avon,Grove,,,,,,Ben Avon Grove,Ben Avon Grv,Ben Avon
"LINESTRING (1786235.55262436 5393610.56527087,1786274.78582597 5393600.88642635,1786285.35252911 5393596.62499096,1786294.66704096 5393590.13815451,1786301.98167765 5393582.62477863,1786307.04097592 5393575.5000575,1786336.45064227 5393504.76356995)",1795565,Addressing Road,Unknown,Road,Hemi Street,Hemi St,,Hemi,Street,,,,,,Hemi Street,Hemi St,Hemi
"LINESTRING (1783441.27608916 5401296.94394276,1783473.55266874 5401280.60646294,1783529.28970356 5401255.95388705,1783541.16479179 5401253.19136634,1783561.9866534 5401260.34306118,1783573.96383409 5401270.28771026,1783588.52194316 5401291.73325605,1783602.69935596 5401318.18402881,1783610.27325697 5401341.69019919)",1841604,Addressing Road,Unknown,Road,Te Whaiti Lane,Te Whaiti Lane,,Te Whaiti,Lane,,,,,,Te Whaiti Lane,Te Whaiti Lane,Te Whaiti
