WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii,Processed_Full_Road_Name,Processed_Road_Name_Label,Matched_Road_Full,Matched_Road_Label,Corridor ID,Road Name,Land Use,Traffic Volume,Street Category,Collective Risk Band,Personal Risk Band,Posted Speed Limit,Free Flow Speed,IRR Band,Safe and Appropriate Speed,Difference between posted speed limit and SaAS,Difference between operating and SaAS,Proposed Permanent Speed Limit,Proposed Variable Speed Limit,Start GPS Co-ordinates,End GPS Co-ordinates,Processed Road Name
"LINESTRING (1796441.65544881 5440149.61565608,1796230.21019265 5439437.44545701)",3000452,Addressing Road,Unknown,Road,Donalds Road,Donalds Rd,,Donalds,Road,,,,,,Donalds Road,Donalds Rd,Donalds,donalds,donalds,donald,donald,DONALD_41617,DONALD ST,Rural Residential,137,Rural Roads,Low,Low,100,28,Medium High,60,40,-32,60,,,,donald
"LINESTRING (1796441.65544881 5440149.61565608,1796230.21019265 5439437.44545701)",3000452,Addressing Road,Unknown,Road,Donalds Road,Donalds Rd,,Donalds,Road,,,,,,Donalds Road,Donalds Rd,Donalds,donalds,donalds,donald,donald,DONALD_14969,DONALD ST,Urban Fringe,100,Peri-urban Roads,Low,Low,100,33,Low Medium,60,40,-27,60,,,,donald
"LINESTRING (1796441.65544881 5440149.61565608,1796230.21019265 5439437.44545701)",3000452,Addressing Road,Unknown,Road,Donalds Road,Donalds Rd,,Donalds,Road,,,,,,Donalds Road,Donalds Rd,Donalds,donalds,donalds,donald,donald,DONALD_14970,DONALD ST,Urban Residential,130,Local Streets,Low,Low,50,33,Low Medium,30,20,3,60,,,,donald
"MULTILINESTRING ((1794932.09662936 5442295.51085726,1795202.24038884 5443192.34478527,1795400.79581175 5443866.78387584),(1795566.87133844 5444428.06035958,1795400.79581175 5443866.78387584),(1795606.39937579 5444555.93868797,1795566.87133844 5444428.06035958),(1795839.31681998 5445423.28049264,1795858.07785452 5445406.30939159,1795822.39581654 5445284.82314165),(1795804.05351586 5445218.75574282,1795753.05149076 5445053.86933431),(1795822.39581654 5445284.82314165,1795804.05351586 5445218.75574282),(1795665.40319242 5444752.46515759,1795606.39937579 5444555.93868797),(1795753.05149076 5445053.86933431,1795665.40319242 5444752.46515759))",1793350,Addressing Road,Unknown,Road,Donald Street,Donald St,,Donald,Street,,,,,,Donald Street,Donald St,Donald,donald,donald,donald,donald,DONALD_41617,DONALD ST,Rural Residential,137,Rural Roads,Low,Low,100,28,Medium High,60,40,-32,60,,,,donald
"MULTILINESTRING ((1794932.09662936 5442295.51085726,1795202.24038884 5443192.34478527,1795400.79581175 5443866.78387584),(1795566.87133844 5444428.06035958,1795400.79581175 5443866.78387584),(1795606.39937579 5444555.93868797,1795566.87133844 5444428.06035958),(1795839.31681998 5445423.28049264,1795858.07785452 5445406.30939159,1795822.39581654 5445284.82314165),(1795804.05351586 5445218.75574282,1795753.05149076 5445053.86933431),(1795822.39581654 5445284.82314165,1795804.05351586 5445218.75574282),(1795665.40319242 5444752.46515759,1795606.39937579 5444555.93868797),(1795753.05149076 5445053.86933431,1795665.40319242 5444752.46515759))",1793350,Addressing Road,Unknown,Road,Donald Street,Donald St,,Donald,Street,,,,,,Donald Street,Donald St,Donald,donald,donald,donald,donald,DONALD_14969,DONALD ST,Urban Fringe,100,Peri-urban Roads,Low,Low,100,33,Low Medium,60,40,-27,60,,,,donald
"MULTILINESTRING ((1794932.09662936 5442295.51085726,1795202.24038884 5443192.34478527,1795400.79581175 5443866.78387584),(1795566.87133844 5444428.06035958,1795400.79581175 5443866.78387584),(1795606.39937579 5444555.93868797,1795566.87133844 5444428.06035958),(1795839.31681998 5445423.28049264,1795858.07785452 5445406.30939159,1795822.39581654 5445284.82314165),(1795804.05351586 5445218.75574282,1795753.05149076 5445053.86933431),(1795822.39581654 5445284.82314165,1795804.05351586 5445218.75574282),(1795665.40319242 5444752.46515759,1795606.39937579 5444555.93868797),(1795753.05149076 5445053.86933431,1795665.40319242 5444752.46515759))",1793350,Addressing Road,Unknown,Road,Donald Street,Donald St,,Donald,Street,,,,,,Donald Street,Donald St,Donald,donald,donald,donald,donald,DONALD_14970,DONALD ST,Urban Residential,130,Local Streets,Low,Low,50,33,Low Medium,30,20,3,60,,,,donald
"LINESTRING (1806602.99993161 5434987.43159327,1806865.61034492 5434609.63394617)",1800320,Addressing Road,Unknown,Road,Huangarua Road,Huangarua Rd,,Huangarua,Road,,,,,,Huangarua Road,Huangarua Rd,Huangarua,huangarua,huangarua,huangarua,huangarua,HUANGARUA_91206,HUANGARUA RD,,308,Activity Streets,Low,Low,70,60,Medium,30,40,30,60,,,,huangarua
"MULTILINESTRING ((1804360.19333074 5445161.98411987,1804368.47162552 5445161.34528122,1804667.08535879 5445154.81112023),(1803963.47873134 5445179.79163151,1804360.19333074 5445161.98411987),(1799732.90388241 5445402.61858322,1799755.42329731 5445368.93390047,1799759.52234239 5445363.81278808,1799767.20630387 5445359.71404343,1799774.58761242 5445358.63272665,1800130.99540905 5445343.73439474,1800519.86975384 5445329.23183911),(1800519.86975384 5445329.23183911,1800788.16256105 5445320.06403411,1801396.80325893 5445294.58824293,1801929.68072973 5445269.87150853,1802262.95172981 5445255.98393336,1802278.36615624 5445255.2277897,1802280.03097975 5445255.11691195),(1803915.30593518 5445181.95251469,1803963.47873134 5445179.79163151),(1802280.03097975 5445255.11691195,1803915.30593518 5445181.95251469))",3037164,Addressing Road,Unknown,Road,Moroa Road,Moroa Rd,,Moroa,Road,,,,,,Moroa Road,Moroa Rd,Moroa,moroa,moroa,moroa,moroa,MOROA_88557,MOROA ROAD,Remote Rural,40,Rural Roads,Low,Low,100,65,Medium,60,40,5,60,,,,moroa
"LINESTRING (1804912.78927491 5449691.24338444,1805321.00520913 5450153.61025763)",1795513,Addressing Road,Unknown,Road,Wilkie Street,Wilkie St,,Wilkie,Street,,,,,,Wilkie Street,Wilkie St,Wilkie,wilkie,wilkie,wilkie,wilkie,WILKIE_36677,WILKIE STREET,Remote Rural,36,Rural Roads,Low,Low,100,33,Medium,60,40,-27,60,,,,wilkie
"LINESTRING (1806073.78063705 5448538.40301579,1806148.52293259 5448492.85254736,1806169.14513665 5448465.13212934)",1795659,Addressing Road,Unknown,Road,Loasby Place,Loasby Pl,,Loasby,Place,,,,,,Loasby Place,Loasby Pl,Loasby,loasby,loasby,loasby,loasby,LOASBY_14982,LOASBY PLACE,Urban Residential,39,Local Streets,Low,Low,50,16,Medium,30,20,-14,30,,,,loasby
